RICS,Term,Prices/Upfronts,Name,Currency,Rank,Doc Clause,Cal final,recovery rate,TRBC Economic Sector Name,Region
OCBC20YUSAC=R,20Y,92.91,OCBC,USD,SNRFOR,Cum-Restruct14,AA,(40-49),Financials,East Asia & Pacific - Japan
OCBC20YUSSC=R,20Y,154.91,OCBC,USD,SUBLT2,Cum-Restruct14,AA,(0-29),Financials,East Asia & Pacific - Japan
SHIA20YUSAC=R,20Y,78.71,SHINHAN BANK,USD,SNRFOR,Cum-Restruct14,A,(40-49),Financials,East Asia & Pacific - Japan
SHIA20YUSSC=R,20Y,121.56,SHINHAN BANK,USD,SUBLT2,Cum-Restruct14,A,(0-29),Financials,East Asia & Pacific - Japan
SBI20YUSAC=R,20Y,196.67,STATE BANK INDIA,USD,SNRFOR,Cum-Restruct14,BBB,(40-49),Financials,East Asia & Pacific - Japan
CCL20YUSAR=R,20Y,112.79,COCA-COLA AMATIL,USD,SNRFOR,Mod-Restruct14,BBB,(40-49),Consumer Non-Cyclicals,East Asia & Pacific - Japan
FGL20YUSAR=R,20Y,81.18,FOSTERS GROUP,USD,SNRFOR,Mod-Restruct14,NR,(40-49),Consumer Non-Cyclicals,East Asia & Pacific - Japan
KTAN20YUSAC=R,20Y,76.32,KT&G,USD,SNRFOR,Cum-Restruct14,NR,(40-49),Consumer Non-Cyclicals,East Asia & Pacific - Japan
CNOO20YUSAC=R,20Y,111.53,CNOOC,USD,SNRFOR,Cum-Restruct14,A,(40-49),Energy,East Asia & Pacific - Japan
GSCA20YUSAC=R,20Y,92.29,GS CALTEX,USD,SNRFOR,Cum-Restruct14,BBB,(40-49),Energy,East Asia & Pacific - Japan
ORG20YUSAR=R,20Y,131.42,ORIGIN ENERGY,USD,SNRFOR,Mod-Restruct14,BBB,(40-49),Utilities,East Asia & Pacific - Japan
PETN20YUSAC=R,20Y,148.77,PETROLIAM,USD,SNRFOR,Cum-Restruct14,A,(40-49),Energy,East Asia & Pacific - Japan
RELI20YUSAC=R,20Y,174.94,RELIANCE,USD,SNRFOR,Cum-Restruct14,BBB,(40-49),Energy,East Asia & Pacific - Japan
SKEN20YUSAC=R,20Y,112.92,SK INNOVATION,USD,SNRFOR,Cum-Restruct14,BBB,(40-49),Energy,East Asia & Pacific - Japan
TOPB20YUSAC=R,20Y,139.53,THAI OIL,USD,SNRFOR,Cum-Restruct14,BBB,(40-49),Energy,East Asia & Pacific - Japan
WPL20YUSAR=R,20Y,141.8,WOODSIDE,USD,SNRFOR,Mod-Restruct14,BBB,(40-49),Energy,East Asia & Pacific - Japan
AWC20YUSAR=R,20Y,257.91,ALUMINA,USD,SNRFOR,Mod-Restruct14,BBB,(40-49),Basic Materials,East Asia & Pacific - Japan
AMC20YUSAR=R,20Y,97.63,AMCOR,USD,SNRFOR,Mod-Restruct14,BBB,(40-49),Basic Materials,East Asia & Pacific - Japan
BHP20YUSAR=R,20Y,90.15,BHP BILLITON LTD,USD,SNRFOR,Mod-Restruct14,A,(40-49),Basic Materials,East Asia & Pacific - Japan
CATL20YUSAC=R,20Y,171.78,CAPITALAND,USD,SNRFOR,Cum-Restruct14,NR,(40-49),Financials,East Asia & Pacific - Japan
COLI20YUSAC=R,20Y,162.46,CHINA OVERSEAS,USD,SNRFOR,Cum-Restruct14,BBB,(40-49),Financials,East Asia & Pacific - Japan
CSRB20YUSAR=R,20Y,100.53,CSR LTD,USD,SNRFOR,Mod-Restruct14,BBB,(40-49),Basic Materials,East Asia & Pacific - Japan
FLEX20YUSAX=R,20Y,172.97,FLEX LTD,USD,SNRFOR,Ex-Restruct14,BBB,(40-49),Technology,East Asia & Pacific - Japan
FLEX20YUSSX=R,20Y,172.97,FLEX LTD,USD,SUBLT2,Ex-Restruct14,BBB,(0-29),Technology,East Asia & Pacific - Japan
